No;Category;SKU;Name;Description;Favorite;Recommended;Halal;Is package;Cost;Price;Status;Category Sub
21;Recommended;RECO19;Half Scallop 1pc;;0;0;0;0;0;55000;ACTIVE;
22;Recommended;RECO20;Unagi Roll (4 Pcs);;0;0;0;0;0;65000;ACTIVE;
23;Recommended;RECO21;Kanimayo Mentai Roll;Tanuki, kyuri, kanimayo, mentai salad, chuka wakame;0;0;0;0;0;45000;ACTIVE;
24;Recommended;RECO22;Zake Roll;Salmon fresh inside and top, cream cheese, tamago, tare sauce, wasabi mayo;0;0;0;0;0;115000;ACTIVE;
25;Recommended;RECO23;OKT Roll (Tuna Crispy Mentai);Tuna salad, tanuki, kyuri, top aburi salmon with mentai mayo, Aomori);0;0;0;0;0;55000;ACTIVE;
26;Recommended;RECO24;Spicy Ebi Mentai Roll;Crabstik, spicy ebi teriyaki, kyuri, spicy mayo, aburi mentai mayo on top, aonori;0;0;0;0;0;55000;ACTIVE;
27;Recommended;RECO25;Tori Mozza Roll;Chicken katsu, creamcheese, kyuri with mozzarella on top, cheddar cheese, cheese mayo;0;0;0;0;0;42000;ACTIVE;
28;Recommended;RECO26;Hana Roll;Aburi salmon, salmon bales, tuna salad, tobiko;0;0;0;0;0;107000;ACTIVE;
29;Recommended;RECO27;Ramen Beef;Ramen, crabstick, naruto, wakame, egg, marinated shiitake mushroom, sesame seed, beef teriyaki;0;0;0;0;0;48000;ACTIVE;
30;Recommended;RECO28;Nigiri Combo;8 pcs nigiri sushi;0;0;0;0;0;125000;ACTIVE;
31;Recommended;RECO29;Inari Lovers (5 Pcs);Inari sushi, inari mentai, inari kanimayo, inari salmon salad, inari tuna salad;0;0;0;0;0;85000;ACTIVE;
32;Recommended;RECO04;Gyoza Fish (5 Pcs);Fish Gyoza (berikan notes pilihan deep fried/steam);0;0;0;0;0;38000;ACTIVE;
33;Appetizer - Agemono;AAGE01;Salted Pan Grilled Salmon;;0;0;0;0;0;110000;ACTIVE;
34;Appetizer - Agemono;AAGE02;Tuna Tataki;;0;0;0;0;0;110000;ACTIVE;
35;Appetizer - Agemono;AAGE03;Hokaido Scallop Sashimi;Fresh Scallop;0;0;0;0;0;110000;ACTIVE;
36;Appetizer - Agemono;AAGE04;Ikura Sashimi;Salmon egg;0;0;0;0;0;160000;ACTIVE;
37;Appetizer - Agemono;AAGE05;Unagi Kabayaki;;0;0;0;0;0;135000;ACTIVE;
38;Appetizer - Agemono;AAGE06;Salmon Skin Fried;;0;0;0;0;0;45000;ACTIVE;
39;Appetizer - Agemono;AAGE07;Ebi Furai (3 Pcs);3 pcs nobashi ebi di goreng dengan tepung tempura dengan tambahan saus dan mayo;0;0;0;0;0;43000;ACTIVE;
40;Appetizer - Agemono;AAGE08;Takoyaki 15pc;Isian tako/gurita, katsuoboshi, saus takoyaki, berikan note mau Mayo Original / Mayo Cheese / Mentai Mayo;0;0;0;0;0;73000;ACTIVE;
41;Appetizer - Agemono;AAGE09;Tobiko Sashimi;Tobiko Orange Sashimi;0;0;0;0;0;55000;ACTIVE;
42;Appetizer - Agemono;AAGE10;Chuka Kurage Salad;Jellyfish Salad;0;0;0;0;0;40000;ACTIVE;
43;Appetizer - Agemono;AAGE11;Chuka Idako Salad;Baby Octopus Salad;0;0;0;0;0;50000;ACTIVE;
44;Appetizer - Agemono;AAGE12;Chuka Wakame Salad;Seaweed Salad;0;0;0;0;0;40000;ACTIVE;
45;Appetizer - Agemono;AAGE13;Edamame;;0;0;0;0;0;26000;ACTIVE;
46;Appetizer - Agemono;AAGE14;Spicy Edamame;;0;0;0;0;0;30000;ACTIVE;
47;Appetizer - Agemono;AAGE15;Chicken Karaage Appetizer;;0;0;0;0;0;43000;ACTIVE;
48;Appetizer - Agemono;AAGE16;Chicken Katsu;Chicken katsu with teriyaki sauce;0;0;0;0;0;28000;ACTIVE;
49;Appetizer - Agemono;AAGE17;Grill Chicken Teriyaki;;0;0;0;0;0;30000;ACTIVE;
50;Appetizer - Agemono;AAGE18;Kanimayo Salad;Crabstick;0;0;0;0;0;25000;ACTIVE;
51;Appetizer - Agemono;AAGE19;Salmon Appetiser;Berikan note Salmon Mentaiyaki / Salmon Grill Teriyaki / Salmon Grill Yakiniku;0;0;0;0;0;60000;ACTIVE;
52;Appetizer - Agemono;AAGE20;Maguro/Tuna Sashimi 5pc;Tuna Sashimi;0;0;0;0;0;90000;ACTIVE;
53;Appetizer - Agemono;AAGE21;Otoro/Toro Sashimi 5pc;Bluefin Tuna Belly;0;0;0;0;0;305000;ACTIVE;
54;Appetizer - Agemono;AAGE22;Salmon Head (Half);Salmon Head (Half);0;0;0;0;0;50000;ACTIVE;
55;Nigiri & Gunkan;NNGU01;Tuna Sushi 2M (1 Pcs) (Mentai + Mozza);;0;0;0;0;0;28000;ACTIVE;
56;Nigiri & Gunkan;NNGU02;Kani 2M (1 Pcs) (Mentai + Mozza);;0;0;0;0;0;20000;ACTIVE;
57;Nigiri & Gunkan;NNGU03;Inari Kanimayo;;0;0;0;0;0;25000;ACTIVE;
58;Nigiri & Gunkan;NNGU04;Inari Salmon Salad;;0;0;0;0;0;25000;ACTIVE;
59;Nigiri & Gunkan;NNGU05;Inari Tuna Salad;;0;0;0;0;0;25000;ACTIVE;
60;Nigiri & Gunkan;NNGU07;Salmon 2M (1 Pcs) (Mozza + Mentai);;0;0;0;0;0;28000;ACTIVE;
61;Nigiri & Gunkan;NNGU08;Otoro Ikura Gunkan;;0;0;0;0;0;90000;ACTIVE;
62;Nigiri & Gunkan;NNGU09;Nigiri Combo;8 pcs nigiri sushi;0;0;0;0;0;125000;ACTIVE;
63;Nigiri & Gunkan;NNGU10;Salmon Sushi Party (5 Pcs);;0;0;0;0;0;110000;ACTIVE;
64;Nigiri & Gunkan;NNGU11;Salmon Mentai Sushi;;0;0;0;0;0;27000;ACTIVE;
65;Nigiri & Gunkan;NNGU12;Ikura Gunkan;Salmon Roe;0;0;0;0;0;60000;ACTIVE;
66;Nigiri & Gunkan;NNGU13;Otoro Gunkan (1 Pcs);Bluefin tuna belly;0;0;0;0;0;70000;ACTIVE;
67;Nigiri & Gunkan;NNGU14;Maguro / Tuna Nigiri Sushi (1 pc);Maguro / Tuna;0;0;0;0;0;25000;ACTIVE;
68;Nigiri & Gunkan;NNGU15;Otoro Sushi (1 Pcs);Bluefin tuna belly;0;0;0;0;0;70000;ACTIVE;
69;Nigiri & Gunkan;NNGU16;Toro Mekajiki Sushi (1 Pcs);Swordfish;0;0;0;0;0;55000;ACTIVE;
70;Nigiri & Gunkan;NNGU17;Unatama Nigiri Sushi (1 Pcs);;0;0;0;0;0;37000;ACTIVE;
71;Nigiri & Gunkan;NNGU18;Chuka Kurage Gunkan;;0;0;0;0;0;25000;ACTIVE;
72;Nigiri & Gunkan;NNGU19;Chuka Wakame Gunkan;;0;0;0;0;0;25000;ACTIVE;
73;Nigiri & Gunkan;NNGU20;Chuka Idako Gunkan;;0;0;0;0;0;29000;ACTIVE;
74;Nigiri & Gunkan;NNGU21;Inari Wakame;;0;0;0;0;0;28000;ACTIVE;
75;Nigiri & Gunkan;NNGU22;Inari Kurage;;0;0;0;0;0;28000;ACTIVE;
76;Nigiri & Gunkan;NNGU23;Inari Idako;;0;0;0;0;0;30000;ACTIVE;
77;Nigiri & Gunkan;NNGU24;Kanimayo Gunkan;;0;0;0;0;0;18000;ACTIVE;
78;Nigiri & Gunkan;NNGU25;Sake Nigiri;No sushi rice in side kanimayo wrap with salmon / maguro / otoro silahkan di pilih;0;0;0;0;0;85000;ACTIVE;
79;Nigiri & Gunkan;NNGU26;Tuna Salad Gunkan;;0;0;0;0;0;20000;ACTIVE;
80;Nigiri & Gunkan;NNGU27;Salmon Salad Gunkan;;0;0;0;0;0;20000;ACTIVE;
81;Nigiri & Gunkan;NNGU28;Tamago Cheese;;0;0;0;0;0;19000;ACTIVE;
82;Nigiri & Gunkan;NNGU29;Tamago Sushi 2M (1 Pcs) (Mentai + Mozza);;0;0;0;0;0;20000;ACTIVE;
83;Nigiri & Gunkan;NNGU30;Tamago Mentai;;0;0;0;0;0;19000;ACTIVE;
84;Nigiri & Gunkan;NNGU31;Tamago Sushi;;0;0;0;0;0;18000;ACTIVE;
85;Nigiri & Gunkan;NNGU32;Salmon Sushi;;0;0;0;0;0;25000;ACTIVE;
86;Nigiri & Gunkan;NNGU33;Tuna Cheese Sushi;;0;0;0;0;0;27000;ACTIVE;
87;Nigiri & Gunkan;NNGU34;Tuna Mentai Sushi;;0;0;0;0;0;27000;ACTIVE;
88;Nigiri & Gunkan;NNGU35;Tuna Mozza;;0;0;0;0;0;27000;ACTIVE;
89;Nigiri & Gunkan;NNGU36;Tobiko Gunkan;;0;0;0;0;0;24000;ACTIVE;
90;Nigiri & Gunkan;NNGU37;Inari Mentai;;0;0;0;0;0;20000;ACTIVE;
91;Nigiri & Gunkan;NNGU38;Inari Sushi;;0;0;0;0;0;19000;ACTIVE;
92;Nigiri & Gunkan;NNGU39;Kani Sushi;;0;0;0;0;0;18000;ACTIVE;
93;Nigiri & Gunkan;NNGU40;Kani Cheese;;0;0;0;0;0;19000;ACTIVE;
94;Nigiri & Gunkan;NNGU41;Kani Mentai;;0;0;0;0;0;19000;ACTIVE;
95;Nigiri & Gunkan;NNGU42;Unagi Sushi;;0;0;0;0;0;33000;ACTIVE;
96;Sushi Roll;SROL01;Oishi Sushi Roll (8 Pcs);Salmon fresh, tuna zuke, tamago, kyuri topping with otoro;0;0;0;0;0;200000;ACTIVE;
97;Sushi Roll;SROL02;Spicy Salmon Skin Roll;Salmon skin, spicy mayo;0;0;0;0;0;47000;ACTIVE;
98;Sushi Roll;SROL03;Salmon Skin Maki;;0;0;0;0;0;38000;ACTIVE;
99;Sushi Roll;SROL04;Combo Roll;Salmon salad, tuna salad, chuka idako, salmon aburi, aomori, chuka wakame, mayo tare;0;0;0;0;0;55000;ACTIVE;
100;Sushi Roll;SROL05;Otoro Maki / Fatty Tuna Belly (Fresh);;0;0;0;0;0;70000;ACTIVE;
101;Sushi Roll;SROL06;Dynamite Roll;Spicy salmon baked, aburi mentai mayo, berikan notes jika tidak pedas;0;0;0;0;0;40000;ACTIVE;
102;Sushi Roll;SROL07;Spicy Lobster Roll;;0;0;0;0;0;55000;ACTIVE;
103;Sushi Roll;SROL08;Cheese Roll;Cheese cheddar, kyuri, top aburi salmon, cheese mayo, cheese cheddar;0;0;0;0;0;55000;ACTIVE;
104;Sushi Roll;SROL09;Crispy Roll;Tanuki, kyuri, dan pilih isian sesuai keinginanmu, topping tobiko;0;0;0;0;0;35000;ACTIVE;
105;Sushi Roll;SROL10;California Roll;Crabstick tamago, kyuri, tobiko, mayo;0;0;0;0;0;45000;ACTIVE;
106;Sushi Roll;SROL11;Tekka Maki (Tuna Fresh);;0;0;0;0;0;45000;ACTIVE;
107;Sushi Roll;SROL12;Kappa Maki;;0;0;0;0;0;13000;ACTIVE;
108;Sushi Roll;SROL13;Kani Maki;;0;0;0;0;0;29000;ACTIVE;
109;Sushi Roll;SROL14;Kanimayo Tobiko Roll;Kanimayo salad, tobiko;0;0;0;0;0;45000;ACTIVE;
110;Sushi Roll;SROL15;Kanitamago Maki;Crabstick, tamago;0;0;0;0;0;32000;ACTIVE;
111;Sushi Roll;SROL16;Unakyu;Eel, kyuri;0;0;0;0;0;40000;ACTIVE;
112;Sushi Roll;SROL17;Unagi Roll (8 Pcs);;0;0;0;0;0;115000;ACTIVE;
113;Sushi Roll;SROL18;Unagi Zake Roll;Inside tamago, kyuri, topping unagi, aburi salmon, with tare saus, mayo;0;0;0;0;0;65000;ACTIVE;
114;Sushi Roll;SROL19;Unatama Maki;Eel, Tamago;0;0;0;0;0;45000;ACTIVE;
115;Sushi Roll;SROL20;Tamago Maki;Telur;0;0;0;0;0;29000;ACTIVE;
116;Sushi Roll;SROL21;Tempura Spicy Kanimayo;Ebi tempura, spicy kanimayo;0;0;0;0;0;50000;ACTIVE;
117;Sushi Roll;SROL22;Tuna Salad Maki;Tuna salad with mayo;0;0;0;0;0;37000;ACTIVE;
118;Sushi Roll;SROL23;TnT Roll;Chicken katsu, kyuri, tare sauce, togarashi, spicy mayo;0;0;0;0;0;47000;ACTIVE;
119;Sushi Roll;SROL24;Tempura Roll;Ebii tempura, tobiko, fishfloss;0;0;0;0;0;54000;ACTIVE;
120;Sushi Roll;SROL25;Ebi Tempura Maki;;0;0;0;0;0;45000;ACTIVE;
121;Sushi Roll;SROL26;Salmon Maki (Fresh);;0;0;0;0;0;45000;ACTIVE;
122;Sushi Roll;SROL27;Salmon Salad Maki;Salmon baked with mayo;0;0;0;0;0;37000;ACTIVE;
123;Sushi Roll;SROL28;Salmon Skin Roll;Salmon skin, tobiko mayo;0;0;0;0;0;47000;ACTIVE;
124;Sushi Roll;SROL29;Spider Roll (5 Pcs);Salmon salad, crabstick, tobiko, kyuri deep fried, tare, mentai mayo, berikan note jika mau pedas;0;0;0;0;0;50000;ACTIVE;
125;Sushi Roll;SROL30;Stamina Roll;Chicken karaage, kyuri, kacang mayo, tare, tobiko;0;0;0;0;0;47000;ACTIVE;
126;Sushi Roll;SROL31;Volcano Roll;Crabstick, tamago, kyuri, mayo, fishfloss, berikan note jika minta pedas;0;0;0;0;0;45000;ACTIVE;
127;Sushi Roll;SROL32;Niku Roll;Kyuri, cheese cheddar, beef slice, tare wijen mayo;0;0;0;0;0;54000;ACTIVE;
128;Udon Noodles;UNOO01;Udon Beef;Udon, crabstick, naruto, wakame, egg, marinated shiitake mushroom, beef teriyaki;0;0;0;0;0;48000;ACTIVE;
129;Udon Noodles;UNOO02;Udon Gyoza;Udon, crabstick, naruto, wakame, egg, marinated shiitake mushroom, fish gyoza;0;0;0;0;0;43000;ACTIVE;
130;Udon Noodles;UNOO03;Kitsune Udon;Udon with inari;0;0;0;0;0;41000;ACTIVE;
131;Udon Noodles;UNOO04;Udon (Tanpa Topping);;0;0;0;0;0;32000;ACTIVE;
132;Udon Noodles;UNOO05;Udon Seafood;Udon, crabstick, naruto, wakame, egg, marinated shiitake mushroom, seafood;0;0;0;0;0;46000;ACTIVE;
133;Udon Noodles;UNOO06;Udon Chicken;Udon, crabstick, naruto, wakame, egg, marinated shiitake mushroom, chicken;0;0;0;0;0;40000;ACTIVE;
134;Udon Noodles;UNOO07;Udon Tempura;Udon, crabstick, naruto, wakame, egg, marinated shiitake mushroom, ebi tempura;0;0;0;0;0;43000;ACTIVE;
135;Udon Noodles;UNOO08;Udon Original;Udon, crabstick, naruto, wakame, egg, marinated shiitake mushroom;0;0;0;0;0;36000;ACTIVE;
136;Ramen Noodles;RNOO01;Ramen Gyoza;Ramen, crabstick, naruto, wakame, egg, marinated shiitake mushroom, sesame seed, fish gyoza;0;0;0;0;0;43000;ACTIVE;
137;Ramen Noodles;RNOO03;Ramen Kitsune;Ramen with inari;0;0;0;0;0;41000;ACTIVE;
138;Ramen Noodles;RNOO04;Ramen (Tanpa Topping);;0;0;0;0;0;32000;ACTIVE;
139;Ramen Noodles;RNOO05;Ramen Seafood;Ramen, crabstick, naruto, wakame, egg, marinated shiitake mushroom, seafood;0;0;0;0;0;46000;ACTIVE;
140;Ramen Noodles;RNOO06;Ramen Chicken;Ramen, crabstick, naruto, wakame, egg, marinated shiitake mushroom, sesame seed, chicken;0;0;0;0;0;40000;ACTIVE;
141;Ramen Noodles;RNOO07;Ramen Tempura;Ramen, crabstick, naruto, wakame, egg, marinated shiitake mushroom, sesame seed, ebi tempura;0;0;0;0;0;43000;ACTIVE;
142;Ramen Noodles;RNOO08;Ramen Original;Ramen, crabstick, naruto, wakame, egg, marinated shiitake mushroom, sesame seed;0;0;0;0;0;36000;ACTIVE;
143;Dry Noodles;DNOO01;Yakisoba;;0;0;0;0;0;53000;ACTIVE;
144;Dry Noodles;DNOO02;Yakiudon;Manis;0;0;0;0;0;53000;ACTIVE;
145;Seasonal Fish;SFD0122;Scorpion fish Nigiri 1pc;;0;0;0;0;0;55000;ACTIVE;
146;Seasonal Fish;SFD0123;Scorpion fish Sashimi 3pc;;0;0;0;0;0;160000;ACTIVE;
147;Seasonal Fish;SFD0124;Scorpion fish Sashimi 5pc;;0;0;0;0;0;210000;ACTIVE;
148;Seasonal Fish;SFD0126;Rusty jobfish Sashimi 3pc (Ishichibiki);;0;0;0;0;0;160000;ACTIVE;
149;Seasonal Fish;SFD0125;Rusty jobfish Nigiri 1pc (Ishichibiki);;0;0;0;0;0;55000;ACTIVE;
150;Seasonal Fish;SFD0127;Rusty jobfish Sashimi 5pc (Ishichibiki);;0;0;0;0;0;210000;ACTIVE;
151;Seasonal Fish;SFD0128;Sweetlips Emperor Nigiri 1pc (kitunefiefuki);;0;0;0;0;0;55000;ACTIVE;
152;Seasonal Fish;SFD0129;Sweetlips Emperor Sashimi 3pc (kitunefiefuki);;0;0;0;0;0;160000;ACTIVE;
153;Seasonal Fish;SFD0130;Sweetlips Emperor Sashimi 5pc (kitunefiefuki);;0;0;0;0;0;210000;ACTIVE;
154;Seasonal Fish;SFD0131;Flounder Nigiri 1pc (Hirame) airship japan;;0;0;0;0;0;100000;ACTIVE;
155;Seasonal Fish;SFD0132;Flounder Sashimi 3pc (Hirame) airship japan;;0;0;0;0;0;290000;ACTIVE;
156;Seasonal Fish;SFD0133;Flounder Sashimi 5pc (Hirame) airship japan;;0;0;0;0;0;400000;ACTIVE;
157;Seasonal Fish;SFD0134;King Klip Nigiri 1pc;;0;0;0;0;0;55000;ACTIVE;
158;Seasonal Fish;SFD0135;King Klip Sashimi 3pc;;0;0;0;0;0;160000;ACTIVE;
159;Seasonal Fish;SFD0136;King Klip Sashimi 5pc;;0;0;0;0;0;210000;ACTIVE;
160;Seasonal Fish;SFD0137;Amadai matsukasa airship japan;;0;0;0;0;0;250000;ACTIVE;
161;Seasonal Fish;SFD0138;Shima Aji Nigiri 1pc airship japan;;0;0;0;0;0;100000;ACTIVE;
162;Seasonal Fish;SFD0139;Shima Aji Sashimi 3pc airship japan;;0;0;0;0;0;290000;ACTIVE;
163;Seasonal Fish;SFD0140;Shima Aji Sashimi 5pc airship japan;;0;0;0;0;0;400000;ACTIVE;
164;Seasonal Fish;SFD0141;Tail Fish Nigiri 1pc (Amadai);;0;0;0;0;0;60000;ACTIVE;
165;Seasonal Fish;SFD0142;Tail Fish Sashimi 3pc (Amadai);;0;0;0;0;0;160000;ACTIVE;
166;Seasonal Fish;SFD0143;Tail Fish Sashimi 5pc (Amadai);;0;0;0;0;0;210000;ACTIVE;
167;Seasonal Fish;SFD0144;Tail Fish Sashimi Matsukasa (Amadai);;0;0;0;0;0;150000;ACTIVE;
168;Seasonal Fish;SFD0145;Dori Nigiri 1pc (Matoudai);;0;0;0;0;0;70000;ACTIVE;
169;Seasonal Fish;SFD0146;Dori Sashimi 3pc (Matoudai);;0;0;0;0;0;210000;ACTIVE;
170;Seasonal Fish;SFD0147;Dori Sashimi 5pc (Matoudai);;0;0;0;0;0;260000;ACTIVE;
171;Seasonal Fish;SFD0014;Blue M Nigiri 1pc (Saba);;0;0;0;0;0;50000;ACTIVE;
172;Seasonal Fish;SFD0015;Blue M Sashimi 3pc (Saba);;0;0;0;0;0;140000;ACTIVE;
173;Seasonal Fish;SFD0016;Blue M Sashimi 5pc (Saba);;0;0;0;0;0;180000;ACTIVE;
174;Seasonal Fish;SFD0017;Blue M Grill/Rol (Saba);;0;0;0;0;0;180000;ACTIVE;
175;Seasonal Fish;SFD0019;Blue Snapper Sashimi 3pc (Umeiro);;0;0;0;0;0;160000;ACTIVE;
176;Seasonal Fish;SFD0020;Blue Snapper Sashimi 5pc (Umeiro);;0;0;0;0;0;210000;ACTIVE;
177;Seasonal Fish;SFD0018;Blue Snapper Nigiri 1pc (Umeiro);;0;0;0;0;0;55000;ACTIVE;
178;Seasonal Fish;SFD0021;Bonito Nigiri 1pc (Hagatsuo);;0;0;0;0;0;55000;ACTIVE;
179;Seasonal Fish;SFD0022;Crimson Job F Nigiri 1pc (Oohime);;0;0;0;0;0;55000;ACTIVE;
180;Seasonal Fish;SFD0023;Crimson Job F Sashimi 3pc (Oohime);;0;0;0;0;0;160000;ACTIVE;
181;Seasonal Fish;SFD0024;Crimson Job F Sashimi 5pc (Oohime);;0;0;0;0;0;210000;ACTIVE;
182;Seasonal Fish;SFD0026;Cuttlefish Sashimi (Ika);;0;0;0;0;0;150000;ACTIVE;
183;Seasonal Fish;SFD0025;Cuttlefish Nigiri 1pc (Ika);;0;0;0;0;0;55000;ACTIVE;
184;Seasonal Fish;SFD0027;Darwin Rought Nigiri 1pc (Hashikinme);;0;0;0;0;0;55000;ACTIVE;
185;Seasonal Fish;SFD0028;Darwin Rought Sashimi 3pc (Hashikinme);;0;0;0;0;0;160000;ACTIVE;
186;Seasonal Fish;SFD0029;Darwin Rought Sashimi 5pc (Hashikinme);;0;0;0;0;0;210000;ACTIVE;
187;Seasonal Fish;SFD0033;Flying Gurnard Nigiri 1pc (Hobo);;0;0;0;0;0;55000;ACTIVE;
188;Seasonal Fish;SFD0034;Flying Gurnard Sashimi 3pc (Hobo);;0;0;0;0;0;160000;ACTIVE;
189;Seasonal Fish;SFD0035;Flying Gurnard Sashimi 5pc (Hobo);;0;0;0;0;0;210000;ACTIVE;
190;Seasonal Fish;SFD0039;Green Job F Nigiri 1pc (Aochibiki);;0;0;0;0;0;55000;ACTIVE;
191;Seasonal Fish;SFD0040;Green Job F Sashimi 3pc (Aochibiki);;0;0;0;0;0;160000;ACTIVE;
192;Seasonal Fish;SFD0041;Green Job F Sashimi 5pc (Aochibiki);;0;0;0;0;0;210000;ACTIVE;
193;Seasonal Fish;SFD0055;Lined Javelin Nigiri 1pc;;0;0;0;0;0;55000;ACTIVE;
194;Seasonal Fish;SFD0056;Lined Javelin Sashimi 3pc;;0;0;0;0;0;160000;ACTIVE;
195;Seasonal Fish;SFD0057;Lined Javelin Sashimi 5pc;;0;0;0;0;0;210000;ACTIVE;
196;Seasonal Fish;SFD0070;Paddletail Snapper Nigiri 1pc (Himefuedai);;0;0;0;0;0;55000;ACTIVE;
197;Seasonal Fish;SFD0071;Paddletail Snapper Sashimi 3pc (Himefuedai);;0;0;0;0;0;160000;ACTIVE;
198;Seasonal Fish;SFD0072;Paddletail Snapper Sashimi 5pc (Himefuedai);;0;0;0;0;0;210000;ACTIVE;
199;Seasonal Fish;SFD0073;Pale Ruby S Nigiri 1pc (Hamadai);;0;0;0;0;0;55000;ACTIVE;
200;Seasonal Fish;SFD0074;Pale Ruby S Sashimi 3pc (Hamadai);;0;0;0;0;0;160000;ACTIVE;
201;Seasonal Fish;SFD0075;Pale Ruby S Sashimi 5pc (Hamadai);;0;0;0;0;0;210000;ACTIVE;
202;Seasonal Fish;SFD0085;Red Cornet Nigiri 1pc (Aka Yagara);;0;0;0;0;0;55000;ACTIVE;
203;Seasonal Fish;SFD0086;Red Cornet Sashimi 3pc (Aka Yagara);;0;0;0;0;0;160000;ACTIVE;
204;Seasonal Fish;SFD0087;Red Cornet Sashimi 5pc (Aka Yagara);;0;0;0;0;0;210000;ACTIVE;
205;Seasonal Fish;SFD0088;Red Gurnard Nigiri 1pc (Hobo/Sea Robin);;0;0;0;0;0;55000;ACTIVE;
206;Seasonal Fish;SFD0089;Red Gurnard Sashimi 3pc (Hobo/Sea Robin);;0;0;0;0;0;160000;ACTIVE;
207;Seasonal Fish;SFD0090;Red Gurnard Sashimi 5pc (Hobo/Sea Robin);;0;0;0;0;0;210000;ACTIVE;
208;Seasonal Fish;SFD0101;Ruby Snapper Nigiri 1pc (Hachi Joakamutu);;0;0;0;0;0;55000;ACTIVE;
209;Seasonal Fish;SFD0102;Ruby Snapper Sashimi 3pc (Hachi Joakamutu);;0;0;0;0;0;160000;ACTIVE;
210;Seasonal Fish;SFD0103;Ruby Snapper Sashimi 5pc (Hachi Joakamutu);;0;0;0;0;0;210000;ACTIVE;
211;Seasonal Fish;SFD0104;Saddleback Nigiri 1pc (Shima Aodai);;0;0;0;0;0;55000;ACTIVE;
212;Seasonal Fish;SFD0105;Saddleback Sashimi 3pc (Shima Aodai);;0;0;0;0;0;160000;ACTIVE;
213;Seasonal Fish;SFD0106;Saddleback Sashimi 5pc (Shima Aodai);;0;0;0;0;0;210000;ACTIVE;
214;Seasonal Fish;SFD0107;Skip Jack Nigiri 1pc (Katsuo);;0;0;0;0;0;55000;ACTIVE;
215;Seasonal Fish;SFD0001;Alfonsino Kinmedai Nigiri 1pc;;0;0;0;0;0;70000;ACTIVE;
216;Seasonal Fish;SFD0002;Alfonsino Kinmedai Sashimi 3pc;;0;0;0;0;0;210000;ACTIVE;
217;Seasonal Fish;SFD0003;Alfonsino Kinmedai Sashimi 5pc;;0;0;0;0;0;260000;ACTIVE;
